"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
183,"Киев",6000,2500,"Software Engineer",4,"0.25","C++",,23,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Стартап","Big Data, High Load Systems, Інша"
184,"Киев",6000,2650,"Senior Software Engineer",9,0,"C#/.NET",,33,"мужской","Высшее","ДонНТУ","False","выше среднего","до 200 человек","Продуктовая","Security"
185,"Киев",6000,1000,"Team/Technical Lead",9,6,"Java",,30,"мужской","Высшее","ДонНТУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
186,"Киев",6000,1000,"Team/Technical Lead",10,0,"JavaScript",,28,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Big Data, High Load Systems"
187,"Львов",6000,0,"Designer",10,5,,,34,"мужской","Высшее","Другой вуз","False","продвинутый","до 10 человек","Стартап","Fintech"
188,"Киев",6000,700,"Team/Technical Lead",10,6,"JavaScript",,31,"мужской","Незаконченное высшее","Другой вуз","False","средний","до 50 человек","Продуктовая","Інша"
189,"Другой",6000,1000,"System Architect",10,6,"C#/.NET",,31,"мужской","Высшее","ДонНУ им. Васыля Стуса","False","средний","до 1000 человек","Аутстаффинговая","Mobile"
190,"Харьков",6000,0,"System Architect",8,6,"C#/.NET",,29,"мужской","Высшее","ХНУРЭ","False","продвинутый","до 200 человек","Аутстаффинговая","E-commerce, ERP"
191,"Львов",6000,200,"System Architect",10,3,"Java",,33,"мужской","Высшее","Львовская Политехника","False","продвинутый","до 10 человек","Стартап","Big Data, Data Science, Machine Learning"
192,"Львов",6000,0,"Senior Software Engineer",10,1,"JavaScript",,29,"мужской","Незаконченное высшее","Другой вуз","False","продвинутый","до 10 человек","Стартап","Big Data, Cloud Computing, Machine Learning"
193,"Киев",6000,500,"Team/Technical Lead",10,"0.5","Java",,39,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 200 человек","Аутсорсинговая","Big Data, Blockchain, Fintech"
194,"Киев",6000,1000,"Team/Technical Lead",10,3,"JavaScript",,32,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Media, Medtech"
