"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"135","Киев",1300,0,"DevOps",2,1,"","",25,"мужской","Высшее","ДонНТУ","False","средний","до 10 человек","Другая","Веб-разработка"
"136","Винница",300,0,"Junior QA engineer",0,0,"","Manual QA",27,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"137","Харьков",2000,400,"Software Engineer",4,0.25,"C#/.NET","",23,"мужской","Высшее","ХНУРЭ","False","средний","до 1000 человек","Аутсорсинговая","iOS,Другое"
"138","Киев",5100,2200,"Senior Software Engineer",5,0.5,"Golang","",27,"мужской","Высшее","НаУКМА","False","средний","до 10 человек","Стартап","Веб-разработка,Другое"
"139","Киев",1500,0,"Security Specialist",6,1,"","",28,"мужской","Высшее","КНЭУ","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Другое"
"140","Киев",3500,1500,"Software Engineer",2,1.5,"Python","",22,"мужской","Высшее","НТУУ «КПИ»","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"141","Другой",3650,0,"Senior Software Engineer",7,0.5,"Swift","",29,"мужской","Высшее","Другой вуз","False","выше среднего","до 10 человек","Стартап","iOS"
"142","Киев",800,400,"Junior Software Engineer",1,1,"Other","",23,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Аутстаффинговая","Корпоративные системы"
"143","Кропивницкий",1050,0,"Software Engineer",6,4,"Python","",26,"мужской","Высшее","Другой вуз","False","элементарный","до 200 человек","Аутстаффинговая","Веб-разработка,eCommerce"
"144","Киев",3700,1400,"Software Engineer",3,0.25,"Swift","",23,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Desktop Applications"
"145","Винница",1800,100,"Software Engineer",6,2,"JavaScript","",32,"мужской","Высшее","ВНТУ","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"146","Киев",2100,1300,"ERP / CRM",2,0.5,"","",23,"мужской","Незаконченное высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Другое"
"147","Харьков",1350,0,"Software Engineer",3,1.5,"PHP","",28,"мужской","Среднее","","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"148","Киев",1200,600,"QA engineer",2,0.25,"","Automation QA",25,"мужской","Высшее","ЖГТУ","False","ниже среднего","до 200 человек","Продуктовая","Веб-разработка"
"149","Одесса",3135,300,"Software Engineer",5,1.5,"Objective-C","",27,"мужской","Высшее","ОНПУ","False","средний","до 200 человек","Продуктовая","iOS"
"150","Львов",2750,0,"Software Engineer",7,1,"Java","",26,"мужской","Высшее","ВНТУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"151","Киев",4400,1000,"DevOps",10,1,"","",30,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","Системное программирование,Мультимедиа"
"152","Харьков",300,0,"Junior Software Engineer",0.5,0.5,"C#/.NET","",22,"женский","Высшее","ХАИ","True","средний","до 1000 человек","Продуктовая",""
"153","Киев",750,250,"QA engineer",2,1,"","Manual QA",31,"мужской","Высшее","Львовская Политехника","False","ниже среднего","до 1000 человек","Продуктовая","Веб-разработка"
"154","Львов",1750,0,"Software Engineer",6,6,"SQL","",28,"мужской","Высшее","Львовская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Другое"
