"Город","salary","Должность","exp","Язык.программирования"
"380","Киев",1000,"Junior Software Engineer",2,"PHP"
"381","Киев",1250,"Senior Software Engineer",7,"C++"
"382","Киев",3000,"Software Engineer",2.5,"Python"
"383","Днепр.",1400,"Senior QA engineer",4.5,""
"384","Днепр.",400,"Junior Software Engineer",0,"Java"
"385","Киев",1500,"Software Engineer",4,"APL"
"386","Симферополь",550,"Junior Software Engineer",1.25,"Java"
"387","Львов",5100,"QA engineer",6,""
"388","Киев",1300,"Software Engineer",1.75,"Java"
"389","Киев",2100,"Software Engineer",3,"PHP"
"390","Киев",3000,"Senior Software Engineer",4.5,"Objective-C"
"391","Харьков",1200,"QA engineer",2.5,""
"392","Киев",1375,"Software Engineer",1.75,"Python"
"393","Киев",2600,"Верстальщик",5,""
"394","Киев",1500,"Software Engineer",2.5,"Java"
"395","Киев",2800,"Бизнес-аналитик",4.5,""
"396","Львов",1300,"QA engineer",1.5,""
"397","Харьков",2600,"Technical Lead",3,"C#/.NET"
"398","Днепр.",900,"QA engineer",2,""
"399","Днепр.",3500,"Senior Project Manager / Program Manager",6,""
"400","Киев",1500,"Software Engineer",1.5,"Objective-C"
"401","Харьков",1300,"Software Engineer",1.5,"C#/.NET"
"402","Киев",2500,"Senior QA engineer",1,""
"403","Луганск",2000,"Системный администратор",4,""
"404","Киев",1250,"Software Engineer",4,"PHP"
"405","Николаев",800,"Software Engineer",2,"Flex/Flash/AIR"
"406","Киев",2625,"Бизнес-аналитик",8,""
"407","Киев",1500,"Software Engineer",4,"SQL"
"408","Львов",1200,"Software Engineer",3,"Java"
"409","Киев",1000,"Junior Software Engineer",1.5,"JavaScript"
"410","Львов",1800,"Senior QA engineer",5,""
"411","Львов",1000,"QA engineer",2.5,""
"412","Луганск",1250,"Software Engineer",3,"Java"
"413","Киев",2100,"Technical Lead",10,"PHP"
"414","Харьков",3000,"Senior Software Engineer",6,"C#/.NET"
"415","Одесса",3300,"Project manager",5,""
"416","Днепр.",2850,"Senior Software Engineer",7,"C++"
"417","Днепр.",1100,"Software Engineer",4,"Java"
"418","Харьков",1400,"Software Engineer",3.5,"PHP"
"419","Киев",2500,"Senior Software Engineer",6,"Flex/Flash/AIR"
"420","Киев",800,"Junior Software Engineer",1,"Java"
"421","Харьков",2400,"Software Engineer",10,"Java"
"422","Киев",1000,"Project manager",4,""
"423","Киев",2000,"Software Engineer",1.5,"Java"
"424","Киев",3200,"Project manager",6,""
"425","Киев",1500,"QA engineer",2,""
"426","Луганск",437.5,"Software Engineer",6,"Delphi"
"427","Харьков",500,"Junior Software Engineer",1,"Java"
"428","Киев",2400,"Team lead",10,""
"429","Киев",1800,"Software Engineer",2,"C#/.NET"
