"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"95","Харьков",1050,600,"Junior Software Engineer",1.5,1.5,"Java","",22,"мужской","Незаконченное высшее","True","средний","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"96","Киев",700,100,"HR",1.5,0.5,"","",26,"женский","Высшее","False","средний","до 200 человек","Аутсорсинговая","Другое"
"97","Киев",2650,0,"Software Engineer",4,0.75,"Scala","",23,"женский","Высшее","False","продвинутый","до 200 человек","Аутстаффинговая","Веб-разработка"
"98","Мариуполь",1100,500,"Technical Lead",1,1,"JavaScript","",28,"мужской","Среднее","False","ниже среднего","до 200 человек","Аутсорсинговая","Android,iOS"
"99","Одесса",2700,100,"Software Engineer",3.5,2.5,"Java","",27,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутстаффинговая","Корпоративные системы"
"100","Киев",3750,1250,"Senior Software Engineer",7,0,"PHP","",33,"мужской","Незаконченное высшее","False","средний","до 10 человек","Продуктовая","eCommerce"
"101","Львов",2320,600,"Системный администратор",10,0.25,"","",33,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая",""
"102","Киев",1500,400,"QA engineer",2,0,"","Manual QA",24,"женский","Незаконченное высшее","False","выше среднего","до 10 человек","Аутсорсинговая","Веб-разработка"
"103","Одесса",1700,1000,"Software Engineer",4,2,"C#/.NET","",23,"мужской","Незаконченное высшее","True","средний","до 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"104","Киев",460,460,"QA engineer",1.5,0.5,"","Manual QA",29,"мужской","Высшее","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка,Финансы и банки"
"105","Харьков",1900,400,"Software Engineer",2,0.5,"C#/.NET","",33,"мужской","Высшее","False","средний","до 10 человек","Стартап","Веб-разработка"
"106","Днепр.",1700,400,"Software Engineer",5.5,1.5,"PHP","",29,"мужской","Высшее","False","элементарный","до 10 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"107","Киев",4000,500,"Senior Software Engineer",7.5,0,"Objective-C","",29,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","iOS"
"108","Киев",3000,500,"Senior QA engineer",8,0.5,"","Automation QA",29,"женский","Кандидат","False","выше среднего","до 50 человек","Аутстаффинговая","Веб-разработка"
"109","Киев",1300,600,"Junior QA engineer",1.5,1.5,"","Manual QA",29,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded"
"110","Киев",2800,-1400,"Software Engineer",4.5,0.5,"Other","",30,"мужской","Высшее","False","выше среднего","до 1000 человек","Продуктовая","Веб-разработка"
"111","Киев",4400,0,"Senior Software Engineer",8,0,"Java","",30,"мужской","Высшее","False","продвинутый","до 50 человек","Аутсорсинговая","eCommerce"
"112","Одесса",3300,200,"Team lead",10,8,"","",33,"мужской","Высшее","False","продвинутый","до 200 человек","Аутстаффинговая","Embedded"
"113","Киев",3200,200,"Senior Software Engineer",7,0,"PHP","",26,"мужской","Высшее","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка"
"114","Киев",1900,-500,"Software Engineer",10,3,"JavaScript","",35,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Телекоммуникации"
"115","Киев",425,85,"HR",0,0,"","",24,"мужской","Два высших","False","продвинутый","до 10 человек","Аутсорсинговая","Другое"
"116","Львов",5000,1000,"Senior Project Manager / Program Manager",6.5,6.5,"","",27,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая",""
"117","Киев",3300,0,"Software Engineer",3,1,"Java","",24,"мужской","Высшее","False","средний","до 50 человек","Аутстаффинговая","Финансы и банки"
"118","Харьков",1330,800,"Software Engineer",2.5,0,"PHP","",19,"мужской","Незаконченное высшее","True","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
