"city","experience","salary","position","specialisation","freq"
"Інше","7-10 років","2000 - 2500","Senior","General QA",2
"Інше","7-10 років","2000 - 2500","Senior","Manual QA",7
"Інше","7-10 років","2500 - 3000","Manager","Manual QA",1
"Інше","7-10 років","2500 - 3000","Middle","Automation QA",3
"Інше","7-10 років","2500 - 3000","Middle","General QA",2
"Інше","7-10 років","2500 - 3000","Middle","Manual QA",1
"Інше","7-10 років","2500 - 3000","Senior","Automation QA",1
"Інше","7-10 років","2500 - 3000","Senior","General QA",3
"Інше","7-10 років","2500 - 3000","Senior","Manual QA",7
"Інше","7-10 років","2500 - 3000","Team Lead","Automation QA",1
"Інше","7-10 років","3000 - 3500","Middle","Automation QA",3
"Інше","7-10 років","3000 - 3500","Middle","General QA",1
"Інше","7-10 років","3000 - 3500","Middle","Manual QA",4
"Інше","7-10 років","3000 - 3500","Senior","Automation QA",1
"Інше","7-10 років","3000 - 3500","Senior","General QA",4
"Інше","7-10 років","3000 - 3500","Senior","Manual QA",9
"Інше","7-10 років","3000 - 3500","Team Lead","General QA",2
"Інше","7-10 років","3000 - 3500","Team Lead","Manual QA",1
"Інше","7-10 років","3000 - 3500","Tech Lead","Manual QA",1
"Інше","7-10 років","3500 - 4000","Manager","General QA",2
"Інше","7-10 років","3500 - 4000","Middle","Automation QA",2
"Інше","7-10 років","3500 - 4000","Senior","Automation QA",7
"Інше","7-10 років","3500 - 4000","Senior","General QA",4
"Інше","7-10 років","3500 - 4000","Senior","Manual QA",10
"Інше","7-10 років","3500 - 4000","Team Lead","Automation QA",1
"Інше","7-10 років","3500 - 4000","Team Lead","General QA",3
"Інше","7-10 років","3500 - 4000","Team Lead","Manual QA",1
"Інше","7-10 років","4000 - 4500","Head","Automation QA",1
"Інше","7-10 років","4000 - 4500","Head","General QA",1
"Інше","7-10 років","4000 - 4500","Manager","Manual QA",1
"Інше","7-10 років","4000 - 4500","Senior","Automation QA",3
"Інше","7-10 років","4000 - 4500","Senior","General QA",2
"Інше","7-10 років","4000 - 4500","Senior","Manual QA",3
"Інше","7-10 років","4000 - 4500","Team Lead","Automation QA",1
"Інше","7-10 років","4000 - 4500","Team Lead","General QA",1
"Інше","7-10 років","4000 - 4500","Tech Lead","General QA",1
"Інше","7-10 років","4500 - 5000","Head","General QA",2
"Інше","7-10 років","4500 - 5000","Middle","Automation QA",1
